OBJECTID,STRKAFS,NAVN,FORKORTELSE,FRA_KM,TIL_KM,KM,BANEKLASSE,BEMAERKNING,BTRTYPE,CENTER_UTM_X,CENTER_UTM_Y,HVDSTRK,HVDSTRK_NAVN,HVDSTRK_FORK,DELSTRK_NAVN,DELSTRK_FORK,DELSTRK,BANENR,BANENR_NAVN,BANENR_FORK,KPMSTRK,RELEASE,RELEASEDATO,STRKAFS_PARENT,TIB,SOURCEOBJECTID,BTRTYPETEKST,BANEKLASSETEKST,CENTER_GPS_X,CENTER_GPS_Y,GLOBALID,Shape__Area,Shape__Length
367345,16074,Fjenneslev - Sorø,Fj-So,72.792,77.555,,2,,1,,,1,København H - Nyborg,Kh-Ng,Ringsted - Nyborg,Rg-Ng,16000,13,(Ringsted) - (Korsør),Rg-Kø,1,,6/17/2026 8:54:23 AM,,1,2031,Fri Bane,Hovedbane,,,42707d7f-319f-4fcd-a04c-62bcd4c7fe46,127454.664794922,9603.7257426471
367346,16079,Sorø,So,77.555,79.505,78.342,2,,2,662616.3107833,6144437.34344111,1,København H - Nyborg,Kh-Ng,Ringsted - Nyborg,Rg-Ng,16000,13,(Ringsted) - (Korsør),Rg-Kø,1,,6/17/2026 8:54:23 AM,,1,1831,Station,Hovedbane,11.56928497,55.41914092,8f44269a-d6ed-4b5b-964b-6c9c019e67e9,76208.7629394531,3998.47121775053
367347,16080,Sorø - Slagelse,So-Sg,79.505,91.77,,2,,1,,,1,København H - Nyborg,Kh-Ng,Ringsted - Nyborg,Rg-Ng,16000,13,(Ringsted) - (Korsør),Rg-Kø,1,,6/17/2026 8:54:23 AM,,1,24162,Fri Bane,Hovedbane,,,bad03735-fb29-4b37-8c23-629c37e55631,337038.712890625,24693.6395413152
367348,16093,Slagelse,Sg,91.77,94.169,92.91,2,,2,648714.18877832,6142641.09845902,1,København H - Nyborg,Kh-Ng,Ringsted - Nyborg,Rg-Ng,16000,13,(Ringsted) - (Korsør),Rg-Kø,1,,6/17/2026 8:54:23 AM,,"1,615",24161,Station,Hovedbane,11.3488947,55.40742771,8d927933-73b2-44c0-aea0-eedd22e7013a,163949.237060547,5536.75886927
367349,11000,København H,Kh,0,1.763,0,2,,2,724209.6955094,6175420.59338314,1,København H - Nyborg,Kh-Ng,København H,Kh,11000,11a,København H - (Høje Taastrup),Kh-Htå,1,,6/17/2026 8:54:23 AM,,"1,6,10,11",28530,Station,Hovedbane,12.56572955,55.67272707,dc70ebec-0321-4368-98aa-26420b592907,233633.734863281,8043.56579829958
367350,12002,København H - Hvidovre Fjern,Kh-Hif,1.763,6.23,,2,,1,,,1,København H - Nyborg,Kh-Ng,København H - Roskilde,Kh-Ro,12000,11a,København H - (Høje Taastrup),Kh-Htå,1,,6/17/2026 8:54:23 AM,,1,2040,Fri Bane,Hovedbane,,,b4581a84-410d-40e7-aef2-c2bb7c8b29cd,109775.224121094,10283.7469438996
367351,12003,Valby,Val,3.884,4.195,3.925,2,,4,721043.65591996,6174249.85605736,1,København H - Nyborg,Kh-Ng,København H - Roskilde,Kh-Ro,12000,11a,København H - (Høje Taastrup),Kh-Htå,1,,6/17/2026 8:54:23 AM,12002,1,2434,Trinbræt,Hovedbane,12.51454299,55.66367817,3f06a93e-53c3-4dda-87cc-d1216de484b3,7674.607421875,673.139396898197
367352,12007,Hvidovre Fjern,Hif,6.23,8.37,7.3,2,,3,717665.13841265,6174181.6675589,1,København H - Nyborg,Kh-Ng,København H - Roskilde,Kh-Ro,12000,11a,København H - (Høje Taastrup),Kh-Htå,1,,6/17/2026 8:54:23 AM,,"1,11",1830,Teknisk Station,Hovedbane,12.46088205,55.66459157,a39cf0ae-bace-411a-87ca-4a34669c686c,58873.1596679688,4394.47961026945
367353,12010,Hvidovre Fjern - Glostrup,Hif-Gl,8.37,10.594,,2,,1,,,1,København H - Nyborg,Kh-Ng,København H - Roskilde,Kh-Ro,12000,11a,København H - (Høje Taastrup),Kh-Htå,1,,6/17/2026 8:54:23 AM,,1,2071,Fri Bane,Hovedbane,,,9e6613c0-90df-47bb-b3db-fd331b64969a,42170.4248046875,4500.27595958744
367354,12011,Glostrup,Gl,10.594,12.526,11.214,2,,2,713783.22773078,6173801.25641352,1,København H - Nyborg,Kh-Ng,København H - Roskilde,Kh-Ro,12000,11a,København H - (Høje Taastrup),Kh-Htå,1,,6/17/2026 8:54:23 AM,,1,1846,Station,Hovedbane,12.3989864,55.66290273,7d49c1b2-b1ca-4d5e-b751-d89a8990c463,257190.582519531,16562.1049592991
