posttype;post_id;kontrakt_id;rækkefølge;titel;leverandørnavn;vedligeholdelsesforvalter;kontraktansvarlig;ikrafttrædelsesdato;grundvarighed_år;antal_optioner;option_år;geografisk_område;tib_nummer;fra_lokation;til_lokation;tidsinterval_fra;tidsinterval_til;responstid_minutter;minimumsværdi;maksimumsværdi;enhed;beskrivelse;kontrakthenvisning
Kontrakt;KON-1720000141;1720000141;1;Etape 2 - Regionalt spor Nord- & Østjylland;Nordic Maskin & Rail A/S;Bent Agerbo Andersen (BAA);Rune Arnfeldt Nielsen (RANS);2023-04-20;6;2;1;Nord- og Østjylland;;;;;;;;;;;
Responstidsregel;SLA-1720000141-23-1;1720000141;1;;;;;;;;;;23;Fredericia;Aarhus H;05:00;19:00;60;;;;;SAB F 4.2.1
Responstidsregel;SLA-1720000141-23-2;1720000141;2;;;;;;;;;;23;Fredericia;Aarhus H;19:00;05:00;90;;;;;SAB F 4.2.1
Responstidsregel;SLA-1720000141-24-1;1720000141;3;;;;;;;;;;24;Aarhus H;Aalborg;05:00;19:00;60;;;;;SAB F 4.2.1
Responstidsregel;SLA-1720000141-24-2;1720000141;4;;;;;;;;;;24;Aarhus H;Aalborg;19:00;05:00;100;;;;;SAB F 4.2.1
Responstidsregel;SLA-1720000141-25-1;1720000141;5;;;;;;;;;;25;Aalborg;Frederikshavn;05:00;19:00;110;;;;;SAB F 4.2.1
Responstidsregel;SLA-1720000141-25-2;1720000141;6;;;;;;;;;;25;Aalborg;Frederikshavn;19:00;05:00;80;;;;;SAB F 4.2.1
Responstidsregel;SLA-1720000141-52-1;1720000141;7;;;;;;;;;;52;Lindholm;Aalborg Lufthavn;05:00;19:00;110;;;;;SAB F 4.2.1
Responstidsregel;SLA-1720000141-52-2;1720000141;8;;;;;;;;;;52;Lindholm;Aalborg Lufthavn;19:00;05:00;80;;;;;SAB F 4.2.1
Beredskabskrav;BER-1720000141-01;1720000141;1;;;;;;;;;;;;;;;;24;24;timer pr. døgn;Køretøjer, særligt værktøj og mandskab skal være tilgængeligt hele døgnet alle ugens dage inklusive helligdage;SAB F 4.2.1
Beredskabskrav;BER-1720000141-02;1720000141;2;;;;;;;;;;;;;;;;7;7;dage pr. uge;Beredskabet skal være tilgængeligt alle ugens dage inklusive helligdage;SAB F 4.2.1
Beredskabskrav;BER-1720000141-03;1720000141;3;;;;;;;;;;;;;;;;2;2;samtidige fejl;Leverandøren skal som minimum kunne håndtere to samtidige fejl i kontraktens geografi;FAB 7.5.7.4
Beredskabskrav;BER-1720000141-04;1720000141;4;;;;;;;;;;;;;;;;;;;Varslingsberedskab omfatter vinterberedskab, varmesyn, svejseberedskab, beredskab efter målevognskørsel og vejrligsberedskab;
Beredskabskrav;BER-1720000141-05;1720000141;5;;;;;;;;;;;;;;;;;;;Beredskabet skal være klart til udrykning inden for den gældende responstid og opretholdes i hele kontraktperioden;SAB F 4.2.1
Bodsregel;BOD-1720000141-01;1720000141;1;;;;;;;;;;;;;;;;25;25;procent af leverancesum;Ikke udført tilstandsarbejde;Bilag 13 pkt. 1.1
Bodsregel;BOD-1720000141-02;1720000141;2;;;;;;;;;;;;;;;;5000;10000;DKK pr. opgave;Mangler ved arbejdet, som ikke udbedres;Bilag 13 pkt. 1.2.1
Bodsregel;BOD-1720000141-03;1720000141;3;;;;;;;;;;;;;;;;50000;50000;DKK pr. opgave;Mangler som forårsager lukning af spor;Bilag 13 pkt. 1.2.2
Bodsregel;BOD-1720000141-04;1720000141;4;;;;;;;;;;;;;;;;100000;100000;DKK pr. opgave;Yderligere bod hvis en mangel, som har forårsaget sporlukning, ikke udbedres;Bilag 13 pkt. 1.2.2.2
Bodsregel;BOD-1720000141-05;1720000141;5;;;;;;;;;;;;;;;;10000;20000;DKK;Overskridelse af responstid ved fejlretning. Beløbet afhænger af målopfyldelsen;Bilag 13 pkt. 1.3
Bodsregel;BOD-1720000141-06;1720000141;6;;;;;;;;;;;;;;;;10000;10000;DKK pr. sporkomponent;Overskridelse af normvedligehold;Bilag 13 pkt. 1.4
Bodsregel;BOD-1720000141-07;1720000141;7;;;;;;;;;;;;;;;;100000;100000;DKK pr. sporkomponent;Efterfølgende normoverskridelse inden for en løbende periode på tre måneder;Bilag 13 pkt. 1.4
Bodsregel;BOD-1720000141-08;1720000141;8;;;;;;;;;;;;;;;;15000;15000;DKK;Manglende beredskab efter målevognskørsel;Bilag 13 pkt. 1.5
Bodsregel;BOD-1720000141-09;1720000141;9;;;;;;;;;;;;;;;;5000;5000;DKK;Manglende aflysning af sporspærring;Bilag 13 pkt. 1.6
Bodsregel;BOD-1720000141-10;1720000141;10;;;;;;;;;;;;;;;;500;500;DKK;Forsinket eller mangelfuld månedsrapportering;Bilag 13 pkt. 1.7
Bodsregel;BOD-1720000141-11;1720000141;11;;;;;;;;;;;;;;;;1500;1500;DKK;Overtrædelse af CSR-forpligtelser;Bilag 12 pkt. 10
Bodsregel;BOD-1720000141-12;1720000141;12;;;;;;;;;;;;;;;;;;DKK;Overtrædelse af krav til sporteknikuddannelse. Boden afhænger af målopfyldelsen;Bilag 15 pkt. 1.2.2
Bodsloft;BODLOFT-1720000141-01;1720000141;1;;;;;;;;;;;;;;;;4000000;4000000;DKK pr. driftsår;Den samlede bod kan ikke overstige fire millioner kroner pr. driftsår;Rammeaftale §§ 29.4 og 29.5
Procestrin;PROC-1720000141-01;1720000141;1;Tilkaldelse;;;;;;;;;;;;;;;;;;Fejlretningskoordinatoren eller den vagthavende modtager fejlmeldingen, opretter et fejlretningsnummer og tilkalder leverandørens fejlretningspersonale. Udkaldstidspunktet registreres i SAP og starter responstiden;SAB F 4.3.1
Procestrin;PROC-1720000141-02;1720000141;2;Transport, lokalisering og vurdering;;;;;;;;;;;;;;;;;;Leverandøren ankommer til fejlstedet, melder ankomst og vurderer fejlens omfang, konsekvenser og forventede reparationstid. Ankomsttidspunktet afslutter responstiden og starter fejlretningstiden;SAB F 4.3.1
Procestrin;PROC-1720000141-03;1720000141;3;Fejlretning;;;;;;;;;;;;;;;;;;Fejlretningspersonalet gennemfører den aftalte fejlretning. Kommunikation om status går via fejlretningskoordinatoren eller den vagthavende;SAB F 4.3.1
Procestrin;PROC-1720000141-04;1720000141;4;Klarmelding;;;;;;;;;;;;;;;;;;Når fejlen er afhjulpet, meddeles dette til fejlretningskoordinatoren eller den vagthavende. Tidspunktet registreres i SAP som afslutning på fejlretningstiden;SAB F 4.3.1
Procestrin;PROC-1720000141-05;1720000141;5;Slutrapportering;;;;;;;;;;;;;;;;;;Leverandøren rapporterer fejlretningsforløbet via SAP eller app. Ved midlertidig afhjælpning oprettes en tilstandsmeddelelse;SAB F 4.3.1
Datakrav;DATA-1720000141-01;1720000141;1;Registrering ved ankomst;;;;;;;;;;;;;;;;;;Ved ankomst meddeles fjernstyringscentralen eller kommandoposten om ankomsttidspunkt og forventet fejlretningstid;SAB F 4.2.2
Datakrav;DATA-1720000141-02;1720000141;2;Registrering ved afslutning;;;;;;;;;;;;;;;;;;Når fejlretningen er færdig, meddeles dette, og banen meldes klar. Banedanmark registrerer udkald, ankomst og afslutning;SAB F 4.2.2
Datakrav;DATA-1720000141-03;1720000141;3;Definition af fejlretningsopgave;;;;;;;;;;;;;;;;;;Hvis fejlen kan udbedres inden for 24 timer, er der tale om en fejlretningsopgave. Endelig udbedring efter en midlertidig løsning håndteres som en tilstandsbaseret opgave;SAB F 4.3
Rapporteringskrav;RAP-1720000141-01;1720000141;1;Månedsrapport;;;;;;;;;;;;;;;;;;Leverandøren skal rapportere månedligt;Kontraktens rapporteringskrav
